WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37088,2001,29,37087,2001,29,NOTDEFINED,18,,,0,0,,,18,,,,18,,,,,,1,1,19,,3,,,,,,,,,,,,All detected by pcr,AU,200129,200129,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37109,2001,32,37108,2001,32,NOTDEFINED,19,,,6,2,,,10,,,,18,,,,,,0,0,18,,3,,,,,,,,,,,,"9 detected by pcr, 2 by serology",AU,200132,200132,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37123,2001,34,37122,2001,34,NOTDEFINED,13,,,7,0,,,5,,,,12,,,,,,1,1,13,,3,,,,,,,,,,,,"Sporadic activity.  Seven specimens detected by PCR
One specimen (Flu B) detected by serology",AU,200134,200134,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37144,2001,37,37143,2001,37,NOTDEFINED,3,,,,,,,2,,,,2,,,,,,1,1,3,,3,,,,,,,,,,,,"Two specimens detected by PCR
One FluB detected by serology",AU,200137,200137,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37158,2001,39,37157,2001,39,NOTDEFINED,,,,,,,,,,,,,,,,,,3,3,3,,3,,,,,,,,,,,,"3 influenza B viruses were isolated from South Australia, the B/Sichuan/379/99-like strains",AU,200139,200139,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37249,2001,52,37248,2001,52,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200152,200152,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37284,2002,5,37283,2002,5,NOTDEFINED,2,,,0,0,,,1,,,,1,,,,,,1,1,2,,3,,,,,,,,,,,,29 year old female detected by serology,AU,200205,200205,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37319,2002,10,37318,2002,10,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200210,200210,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37340,2002,13,37339,2002,13,NOTDEFINED,2,,,0,0,,,1,,,,1,,,,,,1,1,2,,3,,,,,,,,,,,,,AU,200213,200213,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37354,2002,15,37353,2002,15,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200215,200215,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37375,2002,18,37374,2002,18,NOTDEFINED,6,,,0,0,,,0,,,,0,,,,,,6,6,6,,3,,,,,,,,,,,,1 patient positive by serology only to Flu A (not included).,AU,200218,200218,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37389,2002,20,37388,2002,20,NOTDEFINED,8,,,0,1,,,0,,,,1,,,,,,7,7,8,,3,,,,,,,,,,,,,AU,200220,200220,1,1,1
